county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Somerset,PA,75619,39289,36330,1.4,94.6,2.6,0.1,0.4,0,12.7
Sullivan,PA,6192,3234,2958,1.8,93.1,2.5,0.5,0.5,0,13.1
Susquehanna,PA,41716,20988,20728,1.7,96.4,0.6,0.2,0.4,0,13
Tioga,PA,41550,20599,20951,1.2,96.3,0.6,0.1,0.5,0,13.4
Union,PA,45056,24776,20280,5.7,84.4,6.2,0.5,1.7,0,10.2
Venango,PA,52880,26094,26786,1.1,96.1,0.9,0,0.4,0,13.6
Warren,PA,40345,20152,20193,1,97,0.5,0.1,0.5,0,13.4
Washington,PA,207661,101746,105915,1.6,92.5,2.9,0.1,0.9,0,9.7
Wayne,PA,51656,27404,24252,4.2,91,3.1,0.2,0.6,0,11.1
Westmoreland,PA,356835,174211,182624,1.1,94.1,2.3,0,0.9,0,10.3
Wyoming,PA,27760,13958,13802,1.8,95.8,0.7,0.1,0.4,0,10.4
York,PA,442216,218524,223692,6.9,84.3,5.2,0.1,1.4,0,10.3
Bristol,RI,49028,23625,25403,2.7,92.7,1.3,0,2,0,7
Kent,RI,164012,79338,84674,4.4,89.5,1.3,0.1,2.5,0,7.8
Newport,RI,83204,40952,42252,5.6,86,3.1,0.3,2,0.1,9
Providence,RI,633704,307512,326192,21.6,62.2,8,0.4,4.1,0.1,16.7
Washington,RI,126190,61154,65036,3,91.3,1.3,0.8,1.9,0.1,9.6
Abbeville,SC,24788,12044,12744,1.3,68.9,27.6,0.1,0.3,0,22.7
Aiken,SC,165707,80260,85447,5.5,66.7,24.5,0.2,1,0,16.7
Allendale,SC,9402,4952,4450,3.1,22.5,73.5,0.5,0,0,30.4
Anderson,SC,194174,93474,100700,3.5,77.6,16,0.2,0.9,0,15.6
Bamberg,SC,14842,7218,7624,1.9,35.6,61.5,0.1,0.4,0,24.5
Barnwell,SC,21788,10369,11419,2.3,51.2,45.1,0.1,0.4,0,27
Beaufort,SC,179316,88524,90792,11.3,67.4,18.1,0.2,1.2,0.1,11.9
Berkeley,SC,204632,101773,102859,6.3,64,23.9,0.4,2.3,0.1,12.8
Calhoun,SC,14808,7071,7737,3.6,53.6,41.6,0.5,0,0,18.3
Charleston,SC,387847,187854,199993,5,63.9,27.6,0.1,1.3,0,15.3
Cherokee,SC,56549,27527,29022,4.1,73.1,19.9,0.1,0.6,0.1,22
Chester,SC,32424,15850,16574,1.9,58.9,36.4,0.3,0.4,0,21.8
Chesterfield,SC,46127,22685,23442,4.2,60.8,32,0.4,0.5,0.1,23.8
Clarendon,SC,34156,16822,17334,3,47.4,48.3,0.1,0.3,0,23.3
Colleton,SC,37581,18265,19316,3.1,56.3,38,0.7,0,0.9,22.3
Darlington,SC,67572,31915,35657,1.9,55,40.7,0.3,0.4,0,22.7
Dillon,SC,31073,14568,16505,2.7,46.1,46.4,2,0.3,0,30.6
Dorchester,SC,151716,73919,77797,5,64.6,25.3,0.4,1.9,0,11.8
Edgefield,SC,26620,14332,12288,5.7,56.5,36.4,0.3,0.4,0,15.5
Fairfield,SC,22868,10782,12086,2,37.4,54.9,0.3,0.3,0,21.3
Florence,SC,138537,64593,73944,2.5,52.6,42.2,0.2,1.3,0.1,19.6
Georgetown,SC,61065,28957,32108,3,63.3,31.3,0.1,0.4,0,18.7
Greenville,SC,490332,238009,252323,8.8,69,18,0.2,2.2,0.1,13.5
Greenwood,SC,69981,32489,37492,5.8,60.1,31.2,0,0.9,0,24.2
Hampton,SC,20066,10350,9716,4,40.9,53,0.2,0.4,0,18.4
Horry,SC,310186,150251,159935,6,77.1,13.5,0.4,1.2,0.1,17
Jasper,SC,27465,14058,13407,13.2,41.6,43.3,0.1,0.7,0,22.6
Kershaw,SC,63734,30877,32857,4.1,69.1,23.9,0.2,0.5,0,16.4
Lancaster,SC,86544,42328,44216,5,70.1,21.7,0.2,1,0.1,15.5
Laurens,SC,66508,32342,34166,4.5,68.1,25,0.1,0.3,0.1,20.7
Lee,SC,17897,9246,8651,2.3,32.6,62.6,0.4,0,0,26.4
Lexington,SC,281870,137467,144403,5.8,75.6,14.4,0.3,1.7,0.1,12.8
Marion,SC,31765,14675,17090,2.7,38.8,56.6,0.5,0.7,0,26.5
Marlboro,SC,27505,14565,12940,3.3,39.2,50.2,3.3,0.3,0,26.6
McCormick,SC,9694,5440,4254,0.9,49.2,47.5,0.2,0.4,0,20.1
Newberry,SC,37914,18494,19420,7.3,59.8,31.6,0.3,0.2,0,19.8
Oconee,SC,75926,37417,38509,5.1,84.8,7.1,0.2,0.7,0,18.6
Orangeburg,SC,89116,41789,47327,2.1,33.3,61.7,0.3,0.9,0,23.2
Pickens,SC,121449,60358,61091,3.5,86.1,6.5,0.2,1.8,0.1,18.3
Richland,SC,404869,196424,208445,5,43.3,46.2,0.1,2.7,0.1,16.7
Saluda,SC,20228,10050,10178,15.4,57.9,25.5,0.1,0,0,20.5
Spartanburg,SC,297732,144327,153405,6.5,68.8,20.3,0.1,2.2,0,15.6
Sumter,SC,107379,51688,55691,3.8,45.7,46.9,0.3,1.2,0,21.1
Union,SC,27772,13346,14426,1.4,65.1,30.9,0.1,0,0,19.3
Williamsburg,SC,32256,15564,16692,2.3,31.2,64.9,0.3,0.5,0,28.2
York,SC,251664,121451,130213,5.1,71.2,18.9,0.6,1.9,0.1,12.3
Aurora,SD,2739,1445,1294,6.7,88.8,1.6,2.3,0,0,6.2
Beadle,SD,18163,9219,8944,9.1,79.5,0.4,1.4,9.3,0,23.7
Bennett,SD,3440,1567,1873,7.3,31,0.2,47.2,0.2,0,38.1
Bon Homme,SD,6972,4057,2915,3,87.4,1.3,5,1.4,0,10.3
Brookings,SD,33697,17153,16544,2.6,91,1.4,1.1,2.9,0,15.9
Brown,SD,38637,18909,19728,2.5,88.6,1.6,3.4,2.6,0,11
Brule,SD,5280,2626,2654,2.5,84.8,0,9.8,0.3,0,14.6
Buffalo,SD,2048,984,1064,2.4,11.8,0.4,81.3,0,2,40.5
Butte,SD,10194,5078,5116,3.5,91.8,0.6,1.8,0,0,11.1
Campbell,SD,1443,720,723,0.1,97.2,0,1,0,0,4.7
Charles Mix,SD,9319,4637,4682,3.1,63.3,0.1,29.9,0.2,0.1,21.4
Clark,SD,3642,1877,1765,1.8,94.8,0,1.7,0.9,0,13.3
Clay,SD,13907,6955,6952,2.7,88.2,1.5,2.9,2.5,0,24.7
Codington,SD,27963,14163,13800,2.1,93.2,0.5,1.7,0.6,0,11.7
Corson,SD,4177,2125,2052,0.7,29.3,0.5,67.4,0.2,0,47.9
Custer,SD,8519,4275,4244,3,90.6,0.2,3.6,0.4,0,13.2
Davison,SD,19753,9895,9858,2.5,91.7,0.6,3,0.1,0,12.6
Day,SD,5524,2834,2690,2,86.3,0,10,0.1,0,16.5
Deuel,SD,4282,2246,2036,2.8,96.8,0,0.1,0,0,10
Dewey,SD,5709,2823,2886,1.3,20.4,0.1,77.1,0.1,0,31.4
Douglas,SD,2940,1448,1492,0.6,94.9,0,2.7,0,0,8.2
Edmunds,SD,3971,2008,1963,1.7,97.4,0.1,0.4,0.1,0,5.9
Fall River,SD,6783,3424,3359,4,85.2,0.7,4.9,1.6,0,15
Faulk,SD,2327,1196,1131,1.2,94.7,0,3.8,0.1,0,10.9
Grant,SD,7133,3652,3481,1.8,93.9,0,3.4,0.1,0,7.6
Gregory,SD,4209,2156,2053,1.5,88.4,0,7,0.5,0,15.3
Haakon,SD,2084,1047,1037,0.5,88.7,0,7.7,0,0,17.2
Hamlin,SD,5911,3024,2887,3.7,94.5,0.2,0.7,0.2,0,5.6
Hand,SD,3303,1673,1630,0.7,97.9,0,0,0.2,0,8.2
Hanson,SD,3404,1714,1690,0,93.9,4.6,1.1,0,0,6.5
Harding,SD,1281,684,597,1.8,93.8,1.3,1.9,0.7,0,12.9
Hughes,SD,17572,8599,8973,2.9,83.1,0.5,10.3,0.4,0,11.3
Hutchinson,SD,7277,3616,3661,1.9,95.1,0.4,1.4,0.2,0,13
Hyde,SD,1373,686,687,0.8,85.6,0,9.5,0,0,14.2
Jackson,SD,3275,1659,1616,0.7,42.9,0.2,52,0.4,0,44.8
Jerauld,SD,2034,955,1079,2.2,96.3,0,0.4,0,0,8.9
Jones,SD,740,375,365,0,100,0,0,0,0,10.8
Kingsbury,SD,5000,2527,2473,2.1,95.1,0,0.5,1.6,0,9.5
Lake,SD,12350,6387,5963,2.3,93.8,0.6,0,1.9,0,15.5
Lawrence,SD,25018,12441,12577,3.2,91.4,0.9,2.2,0.9,0.2,12.4
Lincoln,SD,53147,26250,26897,1.9,93.6,1,0.5,1.1,0,3
Lyman,SD,3882,2024,1858,2.2,56.4,0.1,39.6,0.5,0.1,21.7
Marshall,SD,4759,2477,2282,7.4,83.8,0.5,7.3,0,0,8.3
McCook,SD,5515,2784,2731,3.2,94.6,0.8,0.5,0,0,9.3
McPherson,SD,2366,1180,1186,2.2,89.8,0.1,6.6,0.6,0,17
Meade,SD,27066,14134,12932,4.1,88,1.8,2.3,1.2,0,8.8
Mellette,SD,2062,1017,1045,5.2,41.1,0,53,0,0,42.6
Miner,SD,2255,1167,1088,2.1,95.2,1,0.1,0.3,0,11.6
Minnehaha,SD,183660,92360,91300,4.7,83.6,4.7,2.3,1.9,0,11
Moody,SD,6496,3312,3184,3.6,77.6,0.6,10.8,2.1,0,15.9
Oglala Lakota,SD,14291,6934,7357,3.7,4.1,0.1,90.3,0,0,51.9
Pennington,SD,108126,54305,53821,4.8,80.5,1.1,8,1.1,0.1,14
Perkins,SD,2964,1485,1479,1.6,94.7,0.1,2.6,0,0,12
Potter,SD,2318,1130,1188,2.3,93.1,0,2.3,1.2,0,6.5
Roberts,SD,10250,5192,5058,2.8,57.7,0.5,36,0.1,0,18.8
Sanborn,SD,2366,1212,1154,3,95.2,0,0.7,0.6,0,9.7
Spink,SD,6478,3221,3257,1.9,95,0.1,1.9,0,0.2,9.9
Stanley,SD,2994,1552,1442,1.1,87.8,0,8.4,0,0.9,5.8
Sully,SD,1390,756,634,0.9,95.5,0,1.5,0,0,3.3
Todd,SD,10016,4905,5111,4.2,8.5,0.3,77.2,1.3,0,52
Tripp,SD,5480,2781,2699,0.3,82.1,0,13.3,0,0,19.7
Turner,SD,8242,4140,4102,2.1,95.7,0.4,0.5,0,0,10.6
Union,SD,14929,7525,7404,3,92.8,0.7,0.6,1,0,7.3
Walworth,SD,5502,2678,2824,2,79.8,0.5,12.2,2,0.4,10.2
Yankton,SD,22660,11786,10874,3.7,89.4,1.8,2.3,0.7,0.1,13.1
Ziebach,SD,2837,1421,1416,0.4,23.4,0,74.5,1,0,43.1
Anderson,TN,75538,36803,38735,2.7,89.6,3.4,0.1,1.4,0.1,16.3
Bedford,TN,46854,23127,23727,11.8,77.8,6.6,0.1,0.4,0.1,16.9
Benton,TN,16154,7794,8360,2.2,93.2,3.4,0.3,0,0,22.3
Bledsoe,TN,14413,8385,6028,2.1,89.2,4,1.1,0.3,0,20.7
Blount,TN,127135,61640,65495,3.1,91.4,2.5,0.3,0.7,0.1,13
Bradley,TN,103666,50468,53198,5.8,86.5,4.9,0.1,1.1,0,18
Campbell,TN,39824,19411,20413,1.2,96.6,0.5,0.3,0.4,0,20.6
Cannon,TN,13839,6738,7101,2,94.5,1.5,0.5,0.1,0,17
Carroll,TN,28137,13758,14379,2.4,84.9,9.8,0.3,0.3,0.1,19.8
Carter,TN,56500,27736,28764,1.7,95.1,1.4,0.3,0.4,0,24.5
Cheatham,TN,39713,19642,20071,2.7,93.4,1.3,0.2,0.5,0.3,12.7
Chester,TN,17097,8199,8898,2.4,86,9.7,0,0.5,0,18.2
Claiborne,TN,31566,15284,16282,1.2,95.6,1,0.1,0.6,0.1,22.4
Clay,TN,7684,3777,3907,1.6,94.8,2.1,0.7,0.5,0,26.6
Cocke,TN,35262,17221,18041,2.2,93.6,1.6,0.4,0,0,25
Coffee,TN,54074,26397,27677,4.1,89.2,2.1,0.1,0.9,0,15.2
Crockett,TN,14554,6915,7639,10.1,74.7,13.2,0.2,0.2,0,17.7
Cumberland,TN,58178,28515,29663,2.8,94.7,0.7,0.5,0.6,0,16
Davidson,TN,678322,327080,351242,10.1,56.4,27.3,0.3,3.5,0.1,16.9
Decatur,TN,11681,5744,5937,3.2,91.7,2.9,0,0.3,0,22.6
DeKalb,TN,19380,9705,9675,7.6,88.9,1.3,0,0.6,0.1,18.9
Dickson,TN,51341,25100,26241,3.3,89.9,3.9,0.3,0.4,0,14.5
Dyer,TN,37751,18201,19550,3.3,80.3,13.4,0.4,0.7,0.1,18.1
Fayette,TN,39336,19329,20007,2.5,68.3,27.7,0.3,0.7,0,14.4
Fentress,TN,17940,8846,9094,1.4,96.7,0.2,0.1,0.4,0,23
Franklin,TN,41397,20224,21173,3.2,88.8,4.9,0.2,0.6,0,15
Gibson,TN,49222,23447,25775,2.6,76.8,17.7,0.4,0.3,0.1,17.1
Giles,TN,29024,14119,14905,2,84.8,9.8,0,0.6,0,15.9
Grainger,TN,22942,11383,11559,3,94.9,0.4,0.3,0.3,0,18.7
Greene,TN,68520,33482,35038,2.7,93.3,2.2,0.3,0.4,0,17.2
Grundy,TN,13359,6575,6784,1.2,81.2,0.5,0.1,0.2,0.1,28.5
Hamblen,TN,63465,31109,32356,11.5,81.9,3.4,0.1,1,0,19.8
Hamilton,TN,354589,170993,183596,5.3,71.4,19.3,0.1,2,0,14.5
Hancock,TN,6605,3273,3332,0.9,97.1,0.5,0.7,0.3,0,25.7
Hardeman,TN,25784,14076,11708,1.7,54.7,41.5,0.3,0.7,0,21.2
Hardin,TN,25813,12669,13144,2.3,92,3.7,0.1,1,0.1,21.5
Hawkins,TN,56402,27525,28877,1.4,95.3,1.3,0.2,0.5,0,19.3
Haywood,TN,17944,8404,9540,4.3,44.4,50,0,0.1,0.1,19.1
Henderson,TN,27889,13446,14443,2.2,87.6,8,0,0.2,0,19.5
Henry,TN,32263,15627,16636,2.3,87.5,9,0.2,0.1,0,19.7
Hickman,TN,24502,12830,11672,2.3,90.6,5,0,0.2,0,19.7
Houston,TN,8188,4106,4082,0.8,92.2,4,0.5,0.3,0,17.1
Humphreys,TN,18281,8985,9296,2.3,92.9,3.6,0.4,0.2,0.1,18.4
Jackson,TN,11573,5827,5746,1.9,95.7,0.6,0,0,0,22.3
Jefferson,TN,52887,25886,27001,3.5,92.5,1.8,0.2,0.6,0,13.8
Johnson,TN,17846,9625,8221,1.9,92.2,3.8,0.5,0.4,0,25.3
Knox,TN,452286,219839,232447,4,82.7,8.8,0.2,2.1,0,15.8
Lake,TN,7588,4761,2827,2.2,67.1,29.1,0.1,0.2,0.1,29.9
Lauderdale,TN,26497,13524,12973,2.4,60.9,33.6,0.6,0.4,0,23.1
Lawrence,TN,42591,20989,21602,2,94,1.9,0.2,0.4,0,18.3
Lewis,TN,11944,5864,6080,2.2,93.5,1.2,0,2.7,0,22.1
Lincoln,TN,33543,16488,17055,3.2,87.4,6.8,0.2,0.4,0,16.9
Loudon,TN,51024,24934,26090,8.2,88.4,1.3,0.1,0.6,0,13.7
Macon,TN,23239,11381,11858,5.1,92.1,0.4,0.4,0.3,0.2,18.6
Madison,TN,97887,46449,51438,3.7,56.5,37.1,0,1.1,0,20.3
Marion,TN,28355,13830,14525,1.7,92.1,1.9,0.3,0.4,0,18.1
Marshall,TN,31753,15700,16053,4.9,85.4,7.6,0,0.4,0,13.5
Maury,TN,87606,42201,45405,5.4,79.8,11.6,0.4,0.9,0,13
McMinn,TN,52569,25630,26939,3.7,89.7,3.6,0.2,0.6,0.1,19.7
McNairy,TN,25945,12672,13273,2,90.1,5.7,0.2,0.1,0,21.6
Meigs,TN,11830,5767,6063,1.5,94.5,1.4,0.3,0.2,0,16.6
Monroe,TN,45698,22571,23127,4.2,91.1,1.9,0.9,0.4,0,20.4
Montgomery,TN,192120,96196,95924,9.7,64.6,18.6,0.5,2.1,0.4,14.2
Moore,TN,6302,3108,3194,0.2,93.3,1.7,1.6,2,0,7.7
Morgan,TN,21639,12088,9551,1.2,93.3,5,0.1,0,0,22.9
Obion,TN,30659,14679,15980,4,83.4,10.3,0.3,0.3,0,23
Overton,TN,21995,10914,11081,1.3,96.4,0.7,0.1,0.3,0.2,19.6
Perry,TN,7882,3960,3922,2.3,92.6,3.3,0.3,0.3,0,29.4
Pickett,TN,5071,2566,2505,0.9,96.8,0.8,0,0,0,18.8
Polk,TN,16722,8321,8401,1.9,95.4,0.3,0.3,0.2,0,17
Putnam,TN,75565,37302,38263,6,88.8,2.3,0.3,1.3,0,23.3
Rhea,TN,32478,16027,16451,4.6,91,2.2,0.1,0.4,0,21.9
Roane,TN,52926,25970,26956,1.7,93.1,2.4,0.3,0.7,0,15.4
Robertson,TN,68575,33839,34736,6.4,84,7.1,0.4,0.5,0.1,11.3
Rutherford,TN,298456,147195,151261,7.4,72.5,13.9,0.2,3.1,0,11.8
Scott,TN,21949,10831,11118,0.8,97.5,0.5,0.3,0,0,26.2
Sequatchie,TN,14654,7229,7425,3.5,85.9,0.2,0.3,0,0,14.4
Sevier,TN,95523,46856,48667,5.7,90.6,0.7,0.3,0.8,0,15.3
Shelby,TN,937847,446846,491001,6.1,36.5,53.2,0.1,2.5,0,20.8
Smith,TN,19279,9617,9662,2.5,93.2,2.2,0.6,0.1,0,14.1
Stewart,TN,13248,6582,6666,2.6,92,1.1,0.5,0.9,0.3,19
Sullivan,TN,156519,75908,80611,1.8,93.7,1.9,0.1,0.6,0,16.6
Sumner,TN,175730,85968,89762,4.5,85.2,6.8,0.3,1.3,0.1,9.7
Tipton,TN,61434,30363,31071,2.7,76,17.9,0.5,0.7,0.2,14.6
Trousdale,TN,8773,4654,4119,1.1,84.9,11.4,0.1,0.3,0,13.3
Unicoi,TN,17830,8880,8950,4.4,93.7,0.5,0.1,0.5,0,20.1
Union,TN,19176,9516,9660,1.5,96.6,0.4,0,0.1,0.2,21.6
Van Buren,TN,5675,2870,2805,0.9,96.3,0.3,0,0,0,19.5
Warren,TN,40210,19846,20364,8.7,85.9,1.3,0.1,0.6,0.3,21.6
Washington,TN,126437,61427,65010,3.3,89.2,3.8,0.3,1.5,0,16.5
Wayne,TN,16713,9273,7440,1.9,90.3,5.6,0.2,1.5,0,19.6
Weakley,TN,33776,16466,17310,2.3,87.1,8.7,0.2,0.1,0.1,20.5
White,TN,26394,12929,13465,2.3,93.8,1.6,0,0,0,17.6
Williamson,TN,212161,103812,108349,4.7,85.3,4.2,0.1,4,0,4.6
Wilson,TN,128874,63009,65865,3.8,86,6.8,0.3,1.5,0.1,9.2
Anderson,TX,57747,35292,22455,17.3,59.7,20.9,0.3,0.5,0,15.7
Andrews,TX,17577,8980,8597,55.4,41.1,1.5,0.1,0.2,0.1,11.9
Angelina,TX,87700,42707,44993,21.5,61.2,14.7,0.1,1.1,0,19.1
Aransas,TX,24832,12448,12384,27,67.7,1.6,0,2,0,17.8
Archer,TX,8793,4335,4458,8.3,88.6,0.8,0.3,0.4,0,8.8
Armstrong,TX,1929,974,955,10,86.6,1.2,1.3,0,0,7.5
Atascosa,TX,48139,24051,24088,63.5,34.2,0.7,0.1,0.4,0,14.6
Austin,TX,29292,14474,14818,25.9,63.3,8.9,0,0.2,0,13.4
Bailey,TX,7098,3678,3420,62.7,34.6,1.5,0.1,0.9,0.2,22.3
Bandera,TX,21316,10570,10746,18,78.8,1,0.2,0.2,0,16.5
Bastrop,TX,80306,40845,39461,36,53.7,7.7,0.4,0.9,0,13.3
Baylor,TX,3602,1740,1862,10.1,83.8,3.2,0,0,0,13.1
Bee,TX,32729,19883,12846,58.2,32.2,8.2,0.5,0.5,0,19.7
Bell,TX,336506,168147,168359,24,47.2,21,0.3,2.8,0.7,14.3
Bexar,TX,1892004,932577,959427,59.8,28.4,7,0.2,2.6,0.1,16.4
Blanco,TX,11089,5576,5513,19.1,77.6,0,0,0.6,0,10.8
Borden,TX,602,309,293,7.6,92.4,0,0,0,0,2.8
Bosque,TX,17955,8831,9124,17.6,78.7,1.4,0.3,0.3,0,15.6
Bowie,TX,93635,47173,46462,7.4,64.5,23.9,0.8,1,0,17.9
Brazoria,TX,345995,175156,170839,29.7,49.1,12.9,0.3,6.2,0,9.9
Brazos,TX,214231,108478,105753,25.1,56.7,10.2,0.1,6,0,26
Brewster,TX,9220,4464,4756,44.2,51.7,0.1,1.7,1.1,0,10.9
Briscoe,TX,1591,796,795,32.2,60.6,1.7,0,0,1,13.9
Brooks,TX,7251,3750,3501,94.1,5.8,0.1,0,0,0,41.5
Brown,TX,37787,18741,19046,21.5,72.7,3.6,0.2,0.6,0,16.4
Burleson,TX,17596,8781,8815,20.1,65.7,12.3,0.2,0.3,0,15.1
Burnet,TX,45017,22234,22783,21.9,74.1,1.5,0.6,0.7,0,12.3
Caldwell,TX,40544,20563,19981,50.7,41.1,6.1,0.2,1,0.1,17.7
Calhoun,TX,21821,10976,10845,48.1,43.2,2.6,0.1,4.9,0.1,15.8
Callahan,TX,13660,6650,7010,9.1,86.8,1.5,0.1,0.2,0,15.6
Cameron,TX,420201,203657,216544,89.3,9.3,0.4,0.1,0.6,0,31.2
Camp,TX,12670,6215,6455,23.9,56.6,16.9,0.4,0.3,0,17.4
Carson,TX,6033,2888,3145,9.7,86.4,0.6,0.4,0.5,0.2,6.4
Cass,TX,30118,14599,15519,4.3,76.4,17,0,0.4,0,18.5
Castro,TX,7891,3958,3933,63.9,32.9,0.7,0.1,1.2,0,15.9
Chambers,TX,39283,19679,19604,21.4,68,8,0.1,1.3,0,12.9
Cherokee,TX,51594,26307,25287,22.5,61.3,13.6,0.5,0.6,0,18.7
Childress,TX,7064,3933,3131,21.7,64.1,7.2,1,1.4,3.4,19.6
Clay,TX,10369,5184,5185,5.7,90.4,0.5,1.2,0.3,0,15
Cochran,TX,2932,1492,1440,57,37.7,2.6,0.2,0,0,24.8
Coke,TX,3238,1609,1629,21.1,76.9,0.6,0.6,0.2,0,16.6
Coleman,TX,8422,4282,4140,17.4,77.3,2.7,0.8,0.8,0,20.3
Collin,TX,914075,448915,465160,15.1,59.1,9.2,0.3,13.5,0.1,6.9
Collingsworth,TX,3026,1508,1518,31.3,60.3,3.5,4.3,0.1,0,15
Colorado,TX,20913,10487,10426,28.9,57,13,0.1,0.1,0,12
Comal,TX,129100,63732,65368,26.8,68.7,2,0.1,1,0,9.2
Comanche,TX,13492,6710,6782,27.3,70.4,0.7,0.5,0.6,0,18.2
Concho,TX,3858,2622,1236,53,44.9,0.7,0.1,1,0,8.5
Cooke,TX,39064,19358,19706,17.3,76.4,2.5,0.7,0.9,0.2,13.9
Coryell,TX,75818,37921,37897,17.8,59.5,13.7,0.6,1.8,0.7,13.3
Cottle,TX,1498,758,740,32.7,53.6,10.2,0.3,0,0,24.5
Crane,TX,4836,2515,2321,62.8,32.9,4.2,0.1,0,0,11.8
Crockett,TX,3836,1903,1933,66.1,33,0.9,0,0,0,20.9
Crosby,TX,5895,2918,2977,55.4,40,3.7,0,0,0,20.8
Culberson,TX,2257,1162,1095,80.7,17.4,0.4,0,0.3,0,29.4
Dallam,TX,7207,3880,3327,43.8,51.2,1.7,1.2,0.9,0,15.9
Dallas,TX,2552213,1257751,1294462,39.6,30.2,22.1,0.2,6,0,17.7
Dawson,TX,13095,7274,5821,56.4,36.3,5.7,0.4,0.9,0,18.5
Deaf Smith,TX,18947,9499,9448,71.6,25.9,0.8,0.3,0.5,0.1,18
Delta,TX,5172,2552,2620,6.9,81.5,7.9,0.2,0.7,0,22.9
Denton,TX,781321,384390,396931,19.1,60.9,9.1,0.3,7.8,0.1,8.4
DeWitt,TX,20474,10697,9777,34.5,55.6,9,0,0,0,16
Dickens,TX,2224,1186,1038,27.6,68.7,3.1,0.3,0.1,0,16.6
Dimmit,TX,10822,5284,5538,86.5,13.2,0.1,0,0.2,0,30.2
Donley,TX,3433,1714,1719,10.6,81.8,3.7,0.7,0.5,0,14.9
Duval,TX,11434,5891,5543,89.3,9,1.4,0,0.3,0,25.2
Eastland,TX,18278,9337,8941,16,79.9,2.2,0.4,0.2,0,17.4
Ector,TX,155744,78798,76946,58.7,34.5,4.1,0.2,1,0,12.3
Edwards,TX,2111,965,1146,56.9,43.1,0,0,0,0,7
El Paso,TX,834825,409199,425626,82.2,12.4,3,0.3,1.1,0.1,21.7
Ellis,TX,164092,80837,83255,25.5,62.6,8.9,0.3,0.7,0,10.5
Erath,TX,41016,20118,20898,20.6,75.4,1.6,0.5,0.8,0,22.6
Falls,TX,17289,8135,9154,22.8,51.5,24.3,0.2,0.2,0.1,25.2
Fannin,TX,33787,17846,15941,10.6,79.4,6.5,0.4,0.7,0.1,14.8
Fayette,TX,24963,12188,12775,20.4,71.9,6,0.1,0.7,0,9.1
Fisher,TX,3875,1867,2008,29.8,66.5,2.9,0,0.5,0.1,17.4
Floyd,TX,5953,2911,3042,57.8,37.9,2.5,0.2,0.3,0,18.2
Foard,TX,1414,749,665,21.6,76.2,2.2,0,0,0,5.7
Fort Bend,TX,711421,349697,361724,24.2,34.4,20.2,0.2,19.2,0,8.1
Franklin,TX,10639,5409,5230,13.9,79.6,4.5,0.5,0,0.1,15
Freestone,TX,19646,10224,9422,14.7,67.5,16.1,0.2,0.4,0,17.3
Frio,TX,19110,11363,7747,78.5,16.4,3.6,0,0.6,0,20.3
Gaines,TX,19889,10082,9807,40.6,56.3,2.3,0.1,0.5,0,11
Galveston,TX,321184,158564,162620,23.9,58,12.5,0.3,3.3,0,13.9
Garza,TX,6739,4369,2370,54,40.5,4.5,0.1,0.6,0,13.5
Gillespie,TX,25939,12655,13284,22.5,75.6,0.1,0,0.1,0,12.4
Glasscock,TX,1420,792,628,40.6,59.4,0,0,0,0,11.6
Goliad,TX,7510,3778,3732,35.6,58.6,5.3,0,0.2,0,16.4
Gonzales,TX,20558,10400,10158,50.1,42.3,6.7,0.1,0.2,0,17.2
Gray,TX,22962,12143,10819,27.9,64.5,4.3,0.9,0.7,0.1,14.9
Grayson,TX,126146,61556,64590,12.7,76.4,5.5,1.3,1.3,0,14.3
Gregg,TX,123402,60366,63036,18.2,58.3,20.1,0.3,1.4,0.1,17.6
Grimes,TX,27358,15070,12288,23.6,58.7,15.6,0.3,0.1,0,18.6
Guadalupe,TX,150889,74611,76278,37.3,51.4,7.1,0.2,1.7,0,10.6
Hale,TX,34527,17906,16621,58.8,34.6,4.4,0.1,0.2,0,19.8
Hall,TX,3102,1552,1550,34.2,56.7,7.4,0.1,0.5,0,22.2
Hamilton,TX,8220,4062,4158,12,85.1,0.7,0.7,0.2,0,16.1
Hansford,TX,5532,2760,2772,46.4,53.3,0.1,0.1,0,0,18.7
Hardeman,TX,3990,1950,2040,21.3,68.6,6.9,0.4,0.5,0,13.8
Hardin,TX,55993,27365,28628,5.4,87,5.6,0.2,0.5,0,12
Harris,TX,4525519,2251060,2274459,42.2,30.6,18.5,0.2,6.8,0.1,16.8
Harrison,TX,66606,32517,34089,12.7,63.8,21.3,0.3,0.7,0,17.9
Hartley,TX,5821,3524,2297,26.2,59.6,8.4,0,1.4,0,8.1
Haskell,TX,5806,3247,2559,27.6,65.8,3.1,0.6,0.7,0,19.3
Hays,TX,194843,96973,97870,37.8,55.3,3.5,0.2,1.3,0,15.3
Hemphill,TX,4152,1976,2176,35.2,61.8,0.7,0.4,0.3,0,8.8
Henderson,TX,79687,38840,40847,12.1,78.9,6.6,0.9,0.7,0.1,18
Hidalgo,TX,839539,410383,429156,91.8,6.6,0.4,0.1,0.9,0,31.8
Hill,TX,35098,17374,17724,20,71.3,6.3,0.2,0.3,0.2,17.5
Hockley,TX,23273,11505,11768,46.9,47.7,3.6,0.6,0.2,0.1,14.9
